"","gyrR","sas1","sas2","isok"
"939",1.26338,0.219,0.075,TRUE
"340",1.26451,0.363,0.113,TRUE
"49",1.26485,0.288,0.113,TRUE
"428",1.26567,0.363,0.075,TRUE
"520",1.26582,0.363,0.113,TRUE
"531",1.26626,0.325,0.113,TRUE
"655",1.26652,0.219,0.113,TRUE
"385",1.2666,0.325,0.113,TRUE
"551",1.26667,0.288,0.113,TRUE
"688",1.26678,0.25,0.075,TRUE
"171",1.26744,0.363,0.113,TRUE
"99",1.26777,0.401,0.075,TRUE
"704",1.26799,0.363,0.113,TRUE
"630",1.26831,0.363,0.113,TRUE
"651",1.26842,0.363,0.075,TRUE
"47",1.2685,0.219,0.113,TRUE
"670",1.26867,0.291,0.075,TRUE
"906",1.2688,0.363,0.113,TRUE
"811",1.26895,0.439,0.075,TRUE
"521",1.2691,0.25,0.113,TRUE
"225",1.26974,0.363,0.113,TRUE
"855",1.27025,0.325,0.113,TRUE
"600",1.27129,0.253,0.113,TRUE
"903",1.27147,0.363,0.113,TRUE
"185",1.27172,0.212,0.113,TRUE
"355",1.27287,0.363,0.075,TRUE
"361",1.27307,0.363,0.113,TRUE
"617",1.2733,0.25,0.113,TRUE
"19",1.27412,0.325,0.075,TRUE
"174",1.2759,0.363,0.038,TRUE
"86",1.27609,0.439,0.113,TRUE
"562",1.27762,0.363,0.113,TRUE
"492",1.27776,0.363,0.113,TRUE
"248",1.27791,0.151,0.075,TRUE
"406",1.27933,0.325,0.113,TRUE
"929",1.27985,0.363,0.075,TRUE
"809",1.28027,0.401,0.075,TRUE
"510",1.2803,0.288,0.113,TRUE
"180",1.2804,0.363,0.113,TRUE
"639",1.28057,0.151,0.113,TRUE
"36",1.28084,0.401,0.113,TRUE
"154",1.28135,0.401,0.113,TRUE
"440",1.28175,0.151,0.113,TRUE
"985",1.28202,0.401,0.113,TRUE
"500",1.28293,0.476,0.113,TRUE
"119",1.28294,0.178,0.113,TRUE
"791",1.28427,0.261,0.038,TRUE
"265",1.28473,0.325,0.113,TRUE
"166",1.28582,0.325,0.075,TRUE
"907",1.28595,0.291,0.113,TRUE
"747",1.28696,0.178,0.113,TRUE
"860",1.28705,0.106,0.075,TRUE
"1",1.28706,0.363,0.075,TRUE
"775",1.28755,0.363,0.075,TRUE
"977",1.28765,0.363,0.113,TRUE
"587",1.2878,0.363,0.075,TRUE
"952",1.28873,0.363,0.113,TRUE
"778",1.28888,0.216,0.113,TRUE
"102",1.28903,0.288,0.075,TRUE
"222",1.28946,0.288,0.113,TRUE
"635",1.28977,0.363,0.075,TRUE
"654",1.29052,0.363,0.113,TRUE
"50",1.29096,0.253,0.113,TRUE
"597",1.29099,0.363,0.113,TRUE
"297",1.29282,0.257,0.113,TRUE
"690",1.293,0.325,0.075,TRUE
"665",1.29316,0.178,0.075,TRUE
"477",1.29328,0.106,0.113,TRUE
"697",1.29365,0.291,0.038,TRUE
"408",1.29398,0.288,0.075,TRUE
"513",1.29561,0.219,0.075,TRUE
"484",1.29673,0.253,0.113,TRUE
"195",1.29728,0.363,0.113,TRUE
"634",1.29783,0.363,0.113,TRUE
"475",1.29899,0.151,0.113,TRUE
"369",1.29902,0.363,0.075,TRUE
"914",1.30057,0.439,0.113,TRUE
"970",1.30095,0.288,0.075,TRUE
"13",1.302,0.25,0.113,TRUE
"834",1.30293,0.212,0.113,TRUE
"993",1.30375,0.325,0.113,TRUE
"269",1.30382,0.253,0.113,TRUE
"721",1.30393,0.25,0.113,TRUE
"814",1.30438,0.295,0.113,TRUE
"10",1.30498,0.363,0.113,TRUE
"51",1.30526,0.147,0.113,TRUE
"308",1.30546,0.363,0.075,TRUE
"875",1.3057,0.363,0.113,TRUE
"54",1.30606,0.113,0.075,TRUE
"613",1.30635,0.363,0.113,TRUE
"772",1.30648,0.325,0.075,TRUE
"836",1.30732,0.325,0.113,TRUE
"333",1.30739,0.363,0.113,TRUE
"841",1.30769,0.212,0.113,TRUE
"435",1.30795,0.325,0.113,TRUE
"739",1.30837,0.363,0.075,TRUE
"439",1.30852,0.325,0.038,TRUE
"686",1.30868,0.137,0.113,TRUE
"302",1.30882,0.325,0.113,TRUE
"282",1.30888,0.476,0.113,TRUE
"861",1.30901,0.075,0.113,TRUE
"888",1.30936,0.363,0.113,TRUE
"90",1.31021,0.223,0.038,TRUE
"12",1.31029,0.106,0.075,TRUE
"247",1.31036,0.288,0.075,TRUE
"380",1.31169,0.113,0.075,TRUE
"258",1.31205,0.216,0.113,TRUE
"143",1.31343,0.113,0.113,TRUE
"469",1.31454,0.174,0.113,TRUE
"542",1.31471,0.291,0.113,TRUE
"270",1.31531,0.288,0.075,TRUE
"850",1.31572,0.325,0.113,TRUE
"352",1.31591,0.363,0.113,TRUE
"55",1.31597,0.288,0.113,TRUE
"854",1.31611,0.325,0.075,TRUE
"462",1.31673,0.295,0.113,TRUE
"716",1.31735,0.253,0.113,TRUE
"664",1.31784,0.363,0.075,TRUE
"291",1.31849,0.219,0.075,TRUE
"256",1.31873,0.363,0.113,TRUE
"871",1.31923,0.14,0.075,TRUE
"771",1.31927,0.325,0.113,TRUE
"555",1.31942,0.072,0.113,TRUE
"790",1.31947,0.151,0.113,TRUE
"22",1.31978,0.325,0.113,TRUE
"533",1.31978,0.219,0.113,TRUE
"456",1.31984,0.291,0.113,TRUE
"345",1.32012,0.25,0.075,TRUE
"872",1.32096,0.11,0.075,TRUE
"417",1.32215,0.151,0.113,TRUE
"800",1.32241,0.439,0.075,TRUE
"447",1.32243,0.216,0.113,TRUE
"560",1.32283,0.223,0.113,TRUE
"582",1.32338,0.25,0.113,TRUE
"292",1.3237,0.288,0.113,TRUE
"257",1.32414,0.401,0.075,TRUE
"381",1.32451,0.439,0.113,TRUE
"735",1.32482,0.178,0.113,TRUE
"918",1.32533,0.144,0.113,TRUE
"535",1.32607,0.325,0.075,TRUE
"201",1.32627,0.325,0.113,TRUE
"285",1.32647,0.325,0.075,TRUE
"218",1.3266,0.363,0.113,TRUE
"669",1.32667,0.325,0.075,TRUE
"213",1.32974,0.216,0.075,TRUE
"458",1.32975,0.174,0.113,TRUE
"393",1.33033,0.151,0.113,TRUE
"287",1.33051,0.212,0.113,TRUE
"75",1.33069,0.363,0.113,TRUE
"564",1.33222,0.144,0.075,TRUE
"652",1.33236,0.363,0.075,TRUE
"926",1.33316,0.11,0.113,TRUE
"828",1.33493,0.325,0.113,TRUE
"899",1.33618,0.325,0.075,TRUE
"486",1.33671,0.212,0.113,TRUE
"476",1.33722,0.253,0.113,TRUE
"72",1.3375,0.25,0.075,TRUE
"942",1.33861,0.325,0.113,TRUE
"900",1.33866,0.253,0.113,TRUE
"35",1.33884,0.325,0.113,TRUE
"808",1.33884,0.363,0.113,TRUE
"159",1.33939,0.288,0.113,TRUE
"904",1.33955,0.174,0.113,TRUE
"595",1.33975,0.325,0.113,TRUE
"694",1.34017,0.216,0.075,TRUE
"81",1.34123,0.075,0.113,TRUE
"570",1.34151,0.363,0.075,TRUE
"30",1.34154,0.291,0.113,TRUE
"940",1.34212,0.439,0.075,TRUE
"178",1.34304,0.401,0.075,TRUE
"61",1.34308,0.216,0.075,TRUE
"468",1.34324,0.325,0.113,TRUE
"253",1.34349,0.178,0.113,TRUE
"722",1.34354,0.185,0.113,TRUE
"766",1.344,0.174,0.113,TRUE
"311",1.34406,0.106,0.113,TRUE
"194",1.34425,0.325,0.113,TRUE
"266",1.34427,0.174,0.113,TRUE
"347",1.34474,0.439,0.075,TRUE
"518",1.34692,0.288,0.075,TRUE
"831",1.34719,0.363,0.075,TRUE
"740",1.3476,0.37,0.113,TRUE
"288",1.34833,0.325,0.075,TRUE
"578",1.34967,0.363,0.113,TRUE
"416",1.35001,0.325,0.113,TRUE
"199",1.35026,0.151,0.113,TRUE
"161",1.35048,0.325,0.075,TRUE
"300",1.35059,0.219,0.113,TRUE
"184",1.35168,0.325,0.075,TRUE
"765",1.35174,0.182,0.113,TRUE
"395",1.35193,0.439,0.075,TRUE
"53",1.35227,0.291,0.075,TRUE
"443",1.35362,0.325,0.075,TRUE
"289",1.35374,0.325,0.113,TRUE
"472",1.35409,0.363,0.075,TRUE
"309",1.35457,0.401,0.113,TRUE
"847",1.35487,0.11,0.075,TRUE
"48",1.3553,0.439,0.113,TRUE
"596",1.35607,0.261,0.113,TRUE
"702",1.35645,0.185,0.113,TRUE
"121",1.35676,0.325,0.113,TRUE
"388",1.35686,0.182,0.075,TRUE
"928",1.3569,0.325,0.113,TRUE
"499",1.35752,0.25,0.075,TRUE
"943",1.35795,0.226,0.113,TRUE
"57",1.3599,0.288,0.075,TRUE
"963",1.36171,0.363,0.113,TRUE
"767",1.362,0.325,0.075,TRUE
"616",1.36261,0.363,0.113,TRUE
"2",1.36271,0.25,0.113,TRUE
"550",1.36306,0.401,0.113,TRUE
"203",1.3635,0.106,0.075,TRUE
"26",1.36456,0.325,0.113,TRUE
"641",1.36458,0.137,0.075,TRUE
"599",1.36521,0.401,0.113,TRUE
"707",1.36644,0.185,0.113,TRUE
"896",1.36671,0.325,0.113,TRUE
"107",1.36801,0.151,0.113,TRUE
"895",1.36813,0.253,0.075,TRUE
"370",1.36922,0.216,0.113,TRUE
"703",1.36953,0.223,0.113,TRUE
"402",1.36955,0.363,0.075,TRUE
"530",1.36972,0.401,0.113,TRUE
"189",1.36991,0.075,0.075,TRUE
"317",1.37265,0.174,0.038,TRUE
"873",1.3728,0.325,0.075,TRUE
"263",1.37303,0.439,0.113,TRUE
"538",1.37428,0.363,0.038,TRUE
"827",1.37481,0.476,0.113,TRUE
"667",1.37594,0.401,0.113,TRUE
"116",1.37653,0.288,0.113,TRUE
"539",1.37653,0.11,0.075,TRUE
"548",1.37692,0.325,0.113,TRUE
"802",1.37803,0.325,0.113,TRUE
"461",1.37816,0.363,0.113,TRUE
"603",1.37821,0.072,0.113,TRUE
"632",1.37851,0.325,0.113,TRUE
"87",1.37854,0.363,0.075,TRUE
"209",1.3791,0.253,0.075,TRUE
"95",1.3793,0.401,0.113,TRUE
"757",1.37957,0.363,0.113,TRUE
"763",1.37982,0.288,0.113,TRUE
"946",1.3827,0.401,0.113,TRUE
"949",1.38273,0.401,0.113,TRUE
"983",1.38369,0.291,0.075,TRUE
"643",1.38391,0.325,0.075,TRUE
"751",1.38412,0.363,0.075,TRUE
"575",1.38667,0.401,0.113,TRUE
"636",1.38689,0.147,0.075,TRUE
"945",1.38735,0.038,0.113,TRUE
"824",1.38855,0.25,0.075,TRUE
"448",1.38882,0.325,0.075,TRUE
"897",1.3925,0.401,0.113,TRUE
"105",1.39445,0.363,0.113,TRUE
"339",1.3946,0.363,0.075,TRUE
"658",1.39548,0.291,0.075,TRUE
"916",1.39684,0.363,0.075,TRUE
"821",1.39693,0.288,0.075,TRUE
"588",1.39752,0.325,0.113,TRUE
"558",1.398,0.11,0.113,TRUE
"76",1.39925,0.325,0.113,TRUE
"277",1.40044,0.325,0.075,TRUE
"992",1.40087,0.363,0.113,TRUE
"556",1.40172,0.476,0.113,TRUE
"532",1.40182,0.174,0.075,TRUE
"264",1.40185,0.291,0.113,TRUE
"140",1.40233,0.439,0.075,TRUE
"737",1.40273,0.25,0.113,TRUE
"797",1.40283,0.476,0.075,TRUE
"579",1.40414,0.291,0.113,TRUE
"426",1.40729,0.253,0.113,TRUE
"701",1.40854,0.325,0.113,TRUE
"155",1.40894,0.219,0.113,TRUE
"913",1.41118,0.325,0.113,TRUE
"58",1.41158,0.325,0.113,TRUE
"410",1.41294,0.291,0.075,TRUE
"491",1.414,0.329,0.075,TRUE
"650",1.41461,0.363,0.075,TRUE
"344",1.42088,0.253,0.113,TRUE
"759",1.42145,0.363,0.113,TRUE
"482",1.42169,0.189,0.113,TRUE
"244",1.42404,0.14,0.113,TRUE
"585",1.4246,0.325,0.113,TRUE
"948",1.42503,0.216,0.075,TRUE
"96",1.42513,0.182,0.075,TRUE
"659",1.42689,0.185,0.113,TRUE
"130",1.42877,0.257,0.113,TRUE
"590",1.42944,0.363,0.113,TRUE
"692",1.43028,0.363,0.075,TRUE
"867",1.4303,0.291,0.113,TRUE
"996",1.43187,0.325,0.113,TRUE
"273",1.43233,0.291,0.113,TRUE
"324",1.43291,0.212,0.075,TRUE
"305",1.43383,0.325,0.075,TRUE
"280",1.43717,0.216,0.113,TRUE
"990",1.43919,0.288,0.075,TRUE
"424",1.44118,0.288,0.075,TRUE
"387",1.44153,0.325,0.075,TRUE
"113",1.44541,0.151,0.038,TRUE
"208",1.44544,0.476,0.113,TRUE
"364",1.45137,0.178,0.113,TRUE
"283",1.45369,0.113,0.113,TRUE
"944",1.45671,0.185,0.075,TRUE
"110",1.45728,0.291,0.113,TRUE
"656",1.45821,0.363,0.113,TRUE
"813",1.45944,0.363,0.075,TRUE
"336",1.45993,0.151,0.113,TRUE
"301",1.46091,0.325,0.113,TRUE
"207",1.46123,0.068,0.075,TRUE
"606",1.46273,0.219,0.113,TRUE
"674",1.46453,0.288,0.113,TRUE
"383",1.46461,0.325,0.113,TRUE
"471",1.46651,0.291,0.113,TRUE
"524",1.46681,0.182,0.113,TRUE
"637",1.47086,0.476,0.113,TRUE
"449",1.47325,0.439,0.113,TRUE
"204",1.47385,0.325,0.113,TRUE
"321",1.47503,0.363,0.075,TRUE
"769",1.48104,0.182,0.075,TRUE
"733",1.48462,0.144,0.075,TRUE
"151",1.48709,0.363,0.113,TRUE
"909",1.49039,0.25,0.075,TRUE
"815",1.4912,0.189,0.075,TRUE
"89",1.49355,0.401,0.113,TRUE
"783",1.49506,0.325,0.075,TRUE
"271",1.49738,0.363,0.075,TRUE
"968",1.49869,0.291,0.113,TRUE
"999",1.51133,0.185,0.113,TRUE
"405",1.51217,0.363,0.075,TRUE
"695",1.51985,0.325,0.075,TRUE
"715",1.5234,0.325,0.075,TRUE
"789",1.5253,0.253,0.075,TRUE
"146",1.54515,0.25,0.113,TRUE
"675",1.55374,0.363,0.075,TRUE
